Filename,Count < 0.50,Total Records,Processing Time (s)
sentence_850.csv,980,2856,0.03432512283325195
sentence_80.csv,0,3825,0.1140904426574707
sentence_758.csv,66,3723,0.06168794631958008
sentence_778.csv,90,2142,0.04382491111755371
sentence_55.csv,346,3876,0.057753801345825195
sentence_356.csv,8,2244,0.04706692695617676
sentence_615.csv,70,4794,0.05769181251525879
sentence_1535.csv,254,3264,0.07997894287109375
sentence_821.csv,2,6936,0.1778850555419922
sentence_833.csv,746,5355,0.0896153450012207
sentence_470.csv,4,4539,0.05422496795654297
sentence_811.csv,146,2397,0.060823678970336914
sentence_364.csv,0,5661,0.1363978385925293
sentence_971.csv,14,3672,0.0977170467376709
sentence_1655.csv,204,5661,0.1187286376953125
sentence_977.csv,8,5406,0.08553051948547363
sentence_540.csv,10,7599,0.35239362716674805
sentence_710.csv,0,6477,0.15817546844482422
sentence_1562.csv,1884,4590,0.05991697311401367
sentence_1157.csv,16,6783,0.23948240280151367
sentence_1245.csv,0,3417,0.03971219062805176
sentence_1622.csv,346,3009,0.0287322998046875
sentence_226.csv,1306,6528,0.22925758361816406
sentence_368.csv,30,3417,0.11664009094238281
sentence_1404.csv,2,1173,0.09086251258850098
sentence_813.csv,250,5712,0.07407760620117188
sentence_268.csv,100,4794,0.07998871803283691
sentence_661.csv,0,5202,0.08583760261535645
sentence_1762.csv,736,4998,0.12313055992126465
sentence_577.csv,150,6324,0.09800958633422852
sentence_630.csv,2,5865,0.10123586654663086
sentence_951.csv,136,4794,0.06975817680358887
sentence_1313.csv,112,7905,0.20203375816345215
sentence_256.csv,1526,5661,0.25609827041625977
sentence_135.csv,220,1836,0.09129047393798828
sentence_161.csv,0,7854,0.08942890167236328
sentence_676.csv,0,7701,0.172990083694458
sentence_987.csv,0,4335,0.10016798973083496
sentence_168.csv,0,2550,0.08304929733276367
sentence_1061.csv,4,5457,0.22792625427246094
sentence_516.csv,0,7599,0.13608026504516602
sentence_1508.csv,2104,3162,0.032070159912109375
sentence_671.csv,234,4641,0.09755778312683105
sentence_157.csv,80,1020,0.04851222038269043
sentence_1028.csv,120,7293,0.10749650001525879
sentence_933.csv,0,8670,0.3048737049102783
sentence_262.csv,462,3366,0.05692124366760254
sentence_358.csv,158,5406,0.14751553535461426
sentence_117.csv,46,4284,0.0664515495300293
sentence_261.csv,0,2805,0.034432411193847656
sentence_571.csv,0,3060,0.043108463287353516
sentence_1226.csv,86,2244,0.09341788291931152
sentence_1006.csv,12,4029,0.10799884796142578
sentence_1564.csv,0,7548,0.13865303993225098
sentence_1274.csv,34,2295,0.051197052001953125
sentence_1136.csv,354,3876,0.07570433616638184
sentence_63.csv,122,1887,0.10123729705810547
sentence_921.csv,2,1887,0.02919626235961914
sentence_1280.csv,0,5916,0.08992910385131836
sentence_222.csv,0,4233,0.34606480598449707
sentence_1530.csv,0,1836,0.044554948806762695
sentence_1321.csv,302,2550,0.03450202941894531
sentence_234.csv,0,1479,0.04004693031311035
sentence_796.csv,0,8109,0.3186507225036621
sentence_219.csv,22,5049,0.17574214935302734
sentence_793.csv,412,6120,0.34085583686828613
sentence_654.csv,240,4284,0.1118004322052002
sentence_1377.csv,52,2193,0.02679133415222168
sentence_1341.csv,4,2244,0.0592806339263916
sentence_245.csv,346,6375,0.06341838836669922
sentence_939.csv,0,3519,0.10077476501464844
sentence_911.csv,0,4080,0.10605883598327637
sentence_1164.csv,4,2805,0.04789376258850098
sentence_1644.csv,2,3723,0.029462814331054688
sentence_1767.csv,64,4845,0.11357498168945312
sentence_1537.csv,0,6987,0.0890665054321289
sentence_1750.csv,1722,4590,0.05513596534729004
sentence_1597.csv,306,3060,0.08886098861694336
sentence_574.csv,730,6579,0.22294068336486816
sentence_320.csv,1002,5151,0.08104276657104492
sentence_1394.csv,0,2652,0.021943092346191406
sentence_991.csv,0,6018,0.08071374893188477
sentence_1153.csv,0,2703,0.039526939392089844
sentence_1148.csv,2020,7242,0.19683265686035156
sentence_159.csv,36,918,0.010273218154907227
sentence_442.csv,12,2652,0.015273094177246094
sentence_1720.csv,944,4029,0.1268784999847412
sentence_1498.csv,0,3417,0.043374061584472656
sentence_377.csv,1586,5814,0.14148569107055664
sentence_1656.csv,514,3060,0.06066632270812988
sentence_119.csv,6,4437,0.06693077087402344
sentence_1512.csv,0,2703,0.06797504425048828
sentence_1034.csv,44,4998,0.24585318565368652
sentence_1702.csv,74,1734,0.03444862365722656
sentence_1763.csv,2,1377,0.058005332946777344
sentence_1344.csv,90,7395,0.18824481964111328
sentence_1489.csv,244,3162,0.06888985633850098
sentence_1299.csv,2,5610,0.09603643417358398
sentence_1623.csv,0,3111,0.08958864212036133
sentence_1287.csv,144,6069,0.1773672103881836
sentence_1463.csv,54,1428,0.027822256088256836
sentence_260.csv,2130,2958,0.0436556339263916
sentence_294.csv,2,2448,0.021184921264648438
sentence_1590.csv,6,9843,0.3819854259490967
sentence_871.csv,124,6987,0.12297916412353516
sentence_204.csv,10,3213,0.04690122604370117
sentence_1703.csv,2,6324,0.24048662185668945
sentence_335.csv,716,3264,0.08475852012634277
sentence_1400.csv,6,2754,0.039455413818359375
sentence_56.csv,0,2346,0.06574535369873047
sentence_555.csv,16,8874,0.5119035243988037
sentence_1020.csv,2,4998,0.16244769096374512
sentence_1784.csv,472,5151,0.14690232276916504
sentence_1098.csv,0,3264,0.044361114501953125
sentence_1577.csv,0,4233,0.052338361740112305
sentence_1212.csv,10,4080,0.10503935813903809
sentence_390.csv,580,3927,0.05760025978088379
sentence_1375.csv,6,3519,0.10410666465759277
sentence_1133.csv,8,3774,0.06747269630432129
sentence_380.csv,48,1581,0.0682377815246582
sentence_1267.csv,102,1785,0.03854942321777344
sentence_1125.csv,266,9486,0.27552032470703125
sentence_1705.csv,970,4641,0.07171034812927246
sentence_1814.csv,86,4335,0.08764004707336426
sentence_1659.csv,10,5763,0.15146446228027344
sentence_1490.csv,18,2091,0.048239946365356445
sentence_1551.csv,1038,4080,0.07662510871887207
sentence_1768.csv,416,2856,0.0362248420715332
sentence_682.csv,396,1581,0.027808189392089844
sentence_1718.csv,6258,10098,0.31557440757751465
sentence_785.csv,82,1275,0.022984981536865234
sentence_16.csv,14,4743,0.08539319038391113
sentence_1214.csv,12,918,0.015106916427612305
sentence_702.csv,122,1785,0.02192091941833496
sentence_70.csv,552,3978,0.03846144676208496
sentence_1532.csv,142,1224,0.019262313842773438
sentence_1285.csv,0,5355,0.08262443542480469
